iter	RMSE
403	1779.939264
404	1779.858417
405	1779.706659
406	1779.421823
407	1779.23167
408	1779.063018
409	1778.888262
410	1778.724248
411	1778.413469
412	1778.171903
413	1777.976949
414	1777.775736
415	1777.532014
416	1776.970217
417	1776.83684
418	1776.465019
419	1776.167145
420	1775.948341
421	1775.754248
422	1775.552861
423	1775.267617
424	1774.906149
425	1774.706249
426	1774.527982
427	1774.277721
428	1774.057058
429	1773.89449
430	1773.674734
431	1773.481778
432	1773.321584
433	1773.134198
434	1772.914352
435	1772.760177
436	1772.445159
437	1772.315034
438	1772.16817
439	1771.892539
440	1771.675255
441	1771.523877
442	1771.337273
443	1771.141684
444	1770.686574
445	1770.439405
446	1770.280193
447	1770.112018
448	1769.872715
449	1769.653926
450	1769.546462
451	1769.510517
452	1769.368107
453	1769.182808
454	1768.991851
455	1768.839039
456	1768.675674
457	1768.205795
458	1767.946229
459	1767.608998
460	1767.420985
461	1767.239248
462	1767.073944
463	1766.726806
464	1766.33284
465	1766.075305
466	1765.978951
467	1765.76748
468	1765.389503
469	1765.172205
470	1764.940861
471	1764.82365
472	1764.367429
473	1764.217871
474	1763.970949
475	1763.677936
476	1763.410806
477	1763.249563
478	1763.023113
479	1762.668448
480	1762.470371
481	1762.350594
482	1762.189177
483	1762.046951
484	1761.822756
485	1761.448435
486	1761.275455
487	1761.190625
488	1760.922477
489	1760.552788
490	1760.520413
491	1760.245216
492	1759.880525
493	1759.670139
494	1759.495155
495	1759.329965
496	1759.088793
497	1758.891238
498	1758.676751
499	1758.444242
500	1758.143495
501	1757.919662
502	1757.688139
503	1757.529011
504	1757.448729
505	1757.233063
506	1756.992612
507	1756.86162
508	1756.697493
509	1756.506731
510	1756.35079
511	1756.189049
512	1755.989143
513	1755.781372
514	1755.590171
515	1755.35366
516	1755.096737
517	1754.849878
518	1754.685168
519	1754.53387
520	1754.40339
521	1754.158847
522	1754.011933
523	1753.763312
524	1753.621621
525	1753.401203
526	1753.216153
527	1753.053056
528	1752.919477
529	1752.761274
530	1752.578267
531	1752.43254
532	1751.666182
533	1751.355155
534	1751.146485
535	1750.990181
536	1750.835106
537	1750.659009
538	1750.29675
539	1750.173199
540	1749.994572
541	1749.788302
542	1749.635408
543	1749.416242
544	1749.277996
545	1749.049336
546	1748.860376
547	1748.607746
548	1748.449569
549	1748.199139
550	1748.031372
551	1747.811997
552	1747.687541
553	1747.486441
554	1747.415738
555	1747.134061
556	1747.015407
557	1746.872769
558	1746.73208
559	1746.626617
560	1746.515429
561	1746.250314
562	1746.069591
563	1745.933903
564	1745.778324
565	1745.635461
566	1745.429574
567	1745.280128
568	1745.144518
569	1744.927016
570	1744.760235
571	1744.63972
572	1744.564112
573	1744.397899
574	1744.252362
575	1744.138628
576	1744.033994
577	1743.62034
578	1743.426502
579	1743.219433
580	1743.117156
581	1742.939952
582	1742.775841
583	1742.657853
584	1742.502313
585	1742.373865
586	1742.209215
587	1742.032382
588	1741.872976
589	1741.743229
590	1741.610659
591	1741.460765
592	1741.303835
593	1741.046788
594	1740.936785
595	1740.759597
596	1740.672581
597	1740.570869
598	1740.31853
599	1740.183207
600	1740.024128
601	1739.865784
602	1739.705514
603	1739.539857
604	1739.376082
605	1739.241356
606	1739.092201
607	1738.958828
608	1738.78034
609	1738.617541
610	1738.448814
611	1738.275714
612	1738.141835
613	1738.047869
614	1737.8678
615	1737.719295
616	1737.522941
617	1737.367492
618	1736.83817
619	1736.678211
620	1736.573189
621	1736.409249
622	1736.167854
623	1736.010892
624	1735.866566
625	1735.772372
626	1735.636244
627	1735.461483
628	1735.336488
629	1734.968133
630	1734.819103
631	1734.673296
632	1734.546498
633	1734.438165
634	1734.284198
635	1734.181246
636	1734.097939
637	1733.951781
638	1733.611977
639	1733.447029
640	1733.239156
641	1733.145901
642	1732.892959
643	1732.710627
644	1732.526961
645	1732.437657
646	1732.304794
647	1732.17059
648	1732.070445
649	1731.940508
650	1731.796767
651	1731.684293
652	1731.501064
653	1731.445926
654	1731.289324
655	1731.196974
656	1731.114914
657	1730.84807
658	1730.73492
659	1730.630987
660	1730.436952
661	1730.279452
662	1730.050679
663	1729.883957
664	1729.647207
665	1729.476944
666	1729.396152
667	1729.269872
668	1729.192111
669	1728.980929
670	1728.888758
671	1728.79205
672	1728.64125
673	1728.530092
674	1728.416574
675	1728.313404
676	1728.202243
677	1728.107261
678	1727.905069
679	1727.781674
680	1727.679328
681	1727.525558
682	1727.39772
683	1727.291584
684	1727.136433
685	1727.024085
686	1726.938648
687	1726.859514
688	1726.753787
689	1726.584421
690	1726.357856
691	1726.196816
692	1726.038226
693	1725.941342
694	1725.757567
695	1725.663345
696	1725.565073
697	1725.433477
698	1725.042871
699	1724.855009
700	1724.721962
701	1724.53817
702	1724.428237
703	1724.361331
704	1724.22105
705	1724.047416
706	1723.931897
707	1723.797219
708	1723.641506
709	1723.525276
710	1723.369323
711	1723.308832
712	1723.037236
713	1722.853413
714	1722.793016
715	1722.673987
716	1722.577795
717	1722.480914
718	1722.324698
719	1722.127553
720	1721.990073
721	1721.884027
722	1721.672816
723	1721.610104
724	1721.497971
725	1721.379285
726	1721.209526
727	1721.087376
728	1720.952825
729	1720.867503
730	1720.687696
731	1720.351261
732	1720.257511
733	1719.966902
734	1719.824354
735	1719.697793
736	1719.573231
737	1719.404556
738	1719.286672
739	1719.231957
740	1719.132604
741	1719.042129
742	1718.924876
743	1718.766918
744	1718.632034
745	1718.542264
746	1718.422322
747	1718.276025
748	1718.222293
749	1718.128793
750	1718.023211
751	1717.928532
752	1717.692805
753	1717.571191
754	1717.415981
755	1717.330625
756	1717.092805
757	1717.009897
758	1716.918934
759	1716.842821
760	1716.747343
761	1716.576074
762	1716.463799
763	1716.263686
764	1716.191176
765	1716.062379
766	1715.936662
767	1715.839875
768	1715.737279
769	1715.619432
770	1715.530928
771	1715.307843
772	1715.212997
773	1715.151365
774	1714.964979
775	1714.875689
776	1714.772107
777	1714.635367
778	1714.59454
779	1714.371907
780	1714.226974
781	1714.129704
782	1714.018093
783	1713.906804
784	1713.81429
785	1713.67559
786	1713.556125
787	1713.438658
788	1713.415522
789	1713.232201
790	1713.077693
791	1712.820115
792	1712.750012
793	1712.59158
794	1712.415266
795	1712.314821
796	1712.233772
797	1712.108961
798	1711.955503
799	1711.859849
800	1711.759036
801	1711.672138
802	1711.542258
803	1711.423741
804	1711.321834
805	1711.264311
806	1711.193553
807	1711.050077
808	1710.925245
809	1710.849668
810	1710.707176
811	1710.630167
812	1710.511729
813	1710.414259
814	1710.346379
815	1710.146358
816	1709.987004
817	1709.867351
818	1709.699561
819	1709.67506
820	1709.612831
821	1709.515571
822	1709.296813
823	1709.212873
824	1709.12352
825	1709.013551
826	1708.937527
827	1708.843054
828	1708.71218
829	1708.552295
830	1708.493442
831	1708.285233
832	1708.1162
833	1707.985718
834	1707.869536
835	1707.791596
836	1707.71015
837	1707.598985
838	1707.502561
839	1707.397743
840	1707.306229
841	1707.215696
842	1707.097005
843	1706.929687
844	1706.836826
845	1706.7543
846	1706.672284
847	1706.573545
848	1706.485615
849	1706.344594
850	1706.246915
851	1706.189906
852	1706.066043
853	1705.946246
854	1705.807631
855	1705.6933
856	1705.621243
857	1705.598968
858	1705.497879
859	1705.425842
860	1705.296431
861	1705.223277
862	1705.12215
863	1704.978639
864	1704.886639
865	1704.758082
866	1704.644552
867	1704.487515
868	1704.339399
869	1704.269861
870	1704.23419
871	1704.149563
872	1704.079806
873	1704.059124
874	1703.899169
875	1703.818334
876	1703.799265
877	1703.70886
878	1703.613526
879	1703.502096
880	1703.395323
881	1703.261346
882	1703.153678
883	1703.056593
884	1702.945592
885	1702.830811
886	1702.73415
887	1702.642427
888	1702.466658
889	1702.346567
890	1702.328934
891	1702.23044
892	1702.091351
893	1702.026932
894	1701.92471
895	1701.783565
896	1701.653397
897	1701.547629
898	1701.448287
899	1701.315434
900	1701.206488
901	1701.086099
902	1700.950334
903	1700.857102
904	1700.840797
905	1700.742857
906	1700.727824
907	1700.631762
908	1700.567885
909	1700.414719
910	1700.32883
911	1700.265622
912	1700.178294
913	1700.123847
914	1700.028684
915	1699.907906
916	1699.823189
917	1699.756409
918	1699.675411
919	1699.573895
920	1699.537069
921	1699.436225
922	1699.373189
923	1699.29261
924	1699.194304
925	1699.116078
926	1699.007173
927	1698.853598
928	1698.747247
929	1698.603654
930	1698.525012
931	1698.440716
932	1698.306174
933	1698.222161
934	1698.154425
935	1698.022337
936	1697.944815
937	1697.932092
938	1697.826881
939	1697.738928
940	1697.674695
941	1697.615362
942	1697.51648
943	1697.446917
944	1697.289778
945	1697.222475
946	1697.092017
947	1696.990736
948	1696.891038
949	1696.770733
950	1696.697328
951	1696.623539
952	1696.53076
953	1696.449913
954	1696.352485
955	1696.259714
956	1696.170834
957	1696.008224
958	1695.920474
959	1695.845847
960	1695.769101
961	1695.715092
962	1695.601104
963	1695.468956
964	1695.321383
965	1695.267541
966	1695.218738
967	1695.126327
968	1695.072782
969	1694.986949
970	1694.878282
971	1694.789285
972	1694.746321
973	1694.640668
974	1694.567724
975	1694.465595
976	1694.408439
977	1694.25137
978	1694.239527
979	1694.141894
980	1694.091037
981	1694.020186
982	1693.945121
983	1693.847987
984	1693.755148
985	1693.702674
986	1693.649063
987	1693.549369
988	1693.462756
989	1693.390772
990	1693.323807
991	1693.251816
992	1693.196064
993	1693.104316
994	1693.020202
995	1692.940961
996	1692.828621
997	1692.666386
998	1692.599427
999	1692.530281
